"date","iso_4217","value"
"1985-09-10","CAD",36.55
"1985-09-11","CAD",36.62
"1985-09-12","CAD",36.57
"1985-09-13","CAD",36.66
"1985-09-14","CAD",36.42
"1985-09-17","CAD",36.42
"1985-09-18","CAD",36.22
"1985-09-19","CAD",36.27
"1985-09-20","CAD",36.25
"1985-09-21","CAD",36.15
"1985-09-24","CAD",35.79
"1985-09-25","CAD",35.81
"1985-09-26","CAD",35.89
"1985-09-27","CAD",35.82
"1985-09-28","CAD",35.67
"1985-10-01","CAD",35.4
"1985-10-02","CAD",35.41
"1985-10-03","CAD",35.44
"1985-10-04","CAD",35.45
"1985-10-05","CAD",35.36
"1985-10-08","CAD",35.49
"1985-10-09","CAD",35.48
"1985-10-10","CAD",35.47
"1985-10-11","CAD",35.46
"1985-10-12","CAD",35.36
"1985-10-15","CAD",35.46
"1985-10-16","CAD",35.45
"1985-10-17","CAD",35.48
"1985-10-18","CAD",35.54
"1985-10-19","CAD",35.43
"1985-10-22","CAD",35.46
"1985-10-23","CAD",35.5
"1985-10-24","CAD",35.46
"1985-10-25","CAD",35.5
"1985-10-26","CAD",35.44
"1985-10-29","CAD",35.47
"1985-10-30","CAD",35.41
"1985-10-31","CAD",35.38
"1985-11-01","CAD",35.3
"1985-11-05","CAD",35.21
"1985-11-06","CAD",35.15
"1985-11-07","CAD",35
"1985-11-12","CAD",35.1
"1985-11-13","CAD",35.03
"1985-11-14","CAD",35
"1985-11-15","CAD",35.02
"1985-11-16","CAD",35.09
"1985-11-19","CAD",35.07
"1985-11-20","CAD",35.02
"1985-11-21","CAD",35.02
"1985-11-22","CAD",34.9
"1985-11-23","CAD",34.94
"1985-11-26","CAD",34.83
"1985-11-27","CAD",34.82
"1985-11-28","CAD",34.73
"1985-11-29","CAD",34.61
"1985-11-30","CAD",34.54
"1985-12-03","CAD",34.34
"1985-12-04","CAD",34.34
"1985-12-05","CAD",34.32
"1985-12-06","CAD",34.27
"1985-12-07","CAD",34.21
"1985-12-10","CAD",34.19
"1985-12-11","CAD",34.17
"1985-12-12","CAD",34.29
"1985-12-13","CAD",34.39
"1985-12-14","CAD",34.32
"1985-12-17","CAD",34.3
"1985-12-18","CAD",34.15
"1985-12-19","CAD",34.13
"1985-12-20","CAD",34.21
"1985-12-21","CAD",34.13
"1985-12-24","CAD",34.2
"1985-12-28","CAD",34.04
"1985-12-31","CAD",33.83
"1986-01-03","CAD",33.66
"1986-01-04","CAD",33.66
"1986-01-07","CAD",33.71
"1986-01-08","CAD",33.52
"1986-01-09","CAD",33.74
"1986-01-10","CAD",33.79
"1986-01-11","CAD",33.82
"1986-01-14","CAD",33.98
"1986-01-15","CAD",33.87
"1986-01-16","CAD",33.62
"1986-01-17","CAD",33.59
"1986-01-18","CAD",33.8
"1986-01-21","CAD",33.82
"1986-01-22","CAD",33.75
"1986-01-23","CAD",33.71
"1986-01-24","CAD",33.6
"1986-01-25","CAD",33.35
